id,pillar,severity,area,title,file_path,line,evidence,recommendation,section_owner,status
BE-LOG-003,Logging,P2,backend/database,SQL echo logs full statements + params at DEBUG,backend/app/database.py,106-110,Potential PII leak in dev/staging,Truncate params; redact-known-PII filter,C,closed
BE-LOG-004,Logging,P2,backend,No metrics/tracing,—,—,No /metrics no OpenTelemetry,Add prometheus-fastapi-instrumentator + OTel,C,closed
BE-WS-001,Production-readiness,P1,backend/websocket,Leaked DB session in send_full_sync,backend/app/websocket/manager.py,206,next(get_db()) without finally close,Wrap in try/finally; or refactor to use ctx mgr,A,closed
BE-WS-002,Production-readiness,P2,backend/websocket,Cleanup task swallows all errors,backend/app/routes/websockets.py,256-281,Best-effort polling loop,Surface errors; structured warning logs,C,closed
BE-CONC-001,Production-readiness,P1,backend/auth,User provisioning TOCTOU,backend/app/auth/dependencies.py,32-72,get_by_email then create races on first login,Use INSERT...ON CONFLICT or session.merge,E,closed
BE-CONC-002,Production-readiness,P2,backend/services,Sync lock has no fence token,backend/app/services/transaction_sync_service.py,55-91,Any caller can DELETE another worker's lock,Generate UUID token; verify on release,E,closed
BE-RL-001,Security,P1,backend,Zero @limiter.limit applied,—,—,SlowAPI mounted but unused,Apply to /auth/login /auth/register /auth/request-password-reset,E,closed
BE-TEST-001,Testing,P0,backend/tests,Conftest references non-existent fields,backend/tests/conftest.py,113-114,institution_name and last_four not on Account model,Replace fixtures or move to tests (per-package),B,closed
BE-TEST-002,Testing,P0,backend/tests,Conftest uses wrong enum casing,backend/tests/conftest.py,202-204,lowercase enum strings vs uppercase model,Move to tests (per-package) with real Postgres,B,closed
BE-TEST-003,Testing,P0,backend/tests,Auth fixture targets wrong endpoint,backend/tests/conftest.py,259;266,/auth/login (no /api) plus username/password form,Use POST /api/auth/login JSON body in audit suite,B,closed
BE-TEST-004,Testing,P1,backend/tests,SQLite cannot exercise JSONB ARRAY enum RLS,backend/tests/conftest.py,—,In-memory SQLite per test,Use testcontainers[postgres],B,closed
BE-TEST-005,Testing,P1,backend/tests,Whole router groups untested,—,—,dashboard goals notifications ml websockets accounts_* webhooks users categories reconciliation,Author backend/tests coverage,B,closed
FE-PERF-001,Performance,P0,frontend/build,Production builds unminified,frontend/vite.config.ts,28,minify:false sourcemap:true,Set minify:true; gate sourcemap to upload-only,A,closed
FE-PERF-002,Performance,P0,frontend/router,No code splitting,frontend/src/App.tsx,21-127,Zero React.lazy; entire app in initial bundle,Wrap routes with React.lazy + Suspense,A,closed
FE-PERF-003,Performance,P1,frontend/components,No list virtualization,frontend/src/components/transactions/TransactionList.tsx,—,Renders all rows,Adopt react-window,A,closed
FE-PERF-004,Performance,P1,frontend/dashboard,Duplicate hydration on dashboard,frontend/src/components/dashboard/RealtimeDashboard.tsx,140-194,Both useEffect and WS onopen fetch backfill,Pick one source of truth,A,closed
FE-PERF-005,Performance,P1,frontend/services,BaseService cache duplicates React Query,frontend/src/services/base/BaseService.ts,45-92,Two layers of caching,Remove BaseService cache,A,closed
FE-PERF-006,Performance,P2,frontend/store,realtimeStore.transactionUpdates unbounded,frontend/src/stores/realtimeStore.ts,233-243,Array grows forever,Cap with sliding window,A,closed
FE-SEC-001,Security,P0,frontend/hooks,WS token in querystring,frontend/src/hooks/useWebSocket.ts,133;11,JWT visible in proxy access logs,Send token in first message after accept(),E,closed
FE-SEC-002,Security,P0,frontend/services,Client-generated CSRF token,frontend/src/services/csrf.ts,—,Server cannot validate token it never issued,Adopt double-submit cookie or rely on SameSite + auth header,E,closed
FE-SEC-003,Security,P1,frontend/services,Refresh token shape mismatch,frontend/src/services/api.ts,309-314;frontend/src/stores/authStore.ts,38-67;Refresh reads camelCase login reads snake_case,Pick one shape; align both paths,D,closed
FE-SEC-004,Security,P1,frontend/services,Logs token prefix per request,frontend/src/services/api.ts,77-79,console.log of Authorization header in prod,Strip console.* in prod build; never log tokens,C,closed
FE-LOG-001,Logging,P1,frontend,142+ console.* in prod,—,—,Across 40 files,Add eslint no-console; replace with structured logger; Sentry/GlitchTip,C,closed
FE-LOG-002,Logging,P2,frontend,Two toast libs in use,frontend/package.json,—,sonner AND react-hot-toast,Pick sonner; uninstall react-hot-toast,C,closed
FE-PR-001,Production-readiness,P1,frontend/build,__DEV__ define always true,frontend/vite.config.ts,30-32,Leaks dev-only branches into prod,Use mode-conditional define,D,closed
FE-PR-002,Production-readiness,P1,frontend/components,Single root ErrorBoundary,frontend/src/components/common/ErrorBoundary.tsx,43-44,One chart crash blanks whole app,Per-route boundaries; wire Sentry,C,closed
FE-PR-003,Production-readiness,P1,frontend/services,Hard-coded localhost URLs,frontend/src/utils/envValidation.ts,78;frontend/src/hooks/useWebSocket.ts,11,Fallbacks to localhost,Make env strict in prod build,D,closed
FE-PR-004,Production-readiness,P2,frontend,94+ any casts,—,—,Defeats strict tsconfig,Add eslint @typescript-eslint/no-explicit-any error,D,open
FE-PR-005,Production-readiness,P2,frontend/queryClient,Two parallel query key systems,frontend/src/services/queryClient.ts;frontend/src/hooks/useTransactions.ts,15-22,queryKeys factory + TRANSACTION_KEYS local,Standardize on factory,D,closed
FE-A11Y-001,Security,P2,frontend,Minimal a11y,frontend/src/components/common/ProtectedRoute.tsx,—,Only 8 aria-* across 5 files; ESLint missing jsx-a11y,Add eslint-plugin-jsx-a11y; audit components,E,closed
FE-WS-001,Production-readiness,P2,frontend/hooks,autoConnect:false does not prevent initial socket open,frontend/src/hooks/useWebSocket.ts,53-78;98-319,Connection effect runs before the autoConnect guard effect; socket opens before flag is honored,Move autoConnect check into the connection effect itself,A,closed
FE-TEST-001,Testing,P0,frontend/tests,Only 5 component smoke tests,—,—,No service hook store E2E,Author frontend/tests (vitest+MSW) and e2e (Playwright),B,closed
ML-PR-001,Production-readiness,P0,ml-worker,Optimization stack is dead code,ml-worker/worker.py,38;80-111,production_orchestrator never instantiated; ONNX engine A/B monitoring all unused,Wire orchestrator in worker_ready (Section F),F,closed
ML-PR-002,Production-readiness,P1,ml-worker,confidence_level hardcoded high,ml-worker/ml_classification_service.py,984;1043,Demo-mode comment; downstream thresholding broken,Compute real confidence from cosine sim,F,closed
ML-PR-003,Production-readiness,P1,ml-worker,New asyncio loop per task,ml-worker/worker.py,123-135,asyncio.new_event_loop() per call,Use worker-shared loop or sync code path,F,closed
ML-PR-004,Production-readiness,P1,ml-worker,Embedding cache is FIFO not LRU,ml-worker/optimized_inference_engine.py,204-209,Misnamed; hot keys evicted,Use functools.lru_cache or OrderedDict.move_to_end,F,closed
ML-PR-005,Production-readiness,P1,ml_models,250+ MB weights in Git tracked 3x,ml_models/;ml-worker/models/;ml-worker/model_cache/,Massive repo bloat,Move to S3/OCI artifact; Git LFS at minimum,D,deferred
ML-SEC-001,Security,P1,ml-worker,Pickle deserialization of prototypes,ml-worker/ml_classification_service.py,1141-1148,Pickle from MODELS_DIR; RCE if attacker writable,Switch to safetensors or npy,E,closed
ML-PERF-001,Performance,P1,ml-worker,No live ONNX-INT8 path,ml-worker/worker.py,154-165,Falls back to PyTorch sentence-transformers,Wire ONNX session as default; PyTorch fallback,F,closed
ML-LOG-001,Logging,P1,ml-worker,Triple logging.basicConfig,ml-worker/{worker,ml_classification_service,optimized_inference_engine}.py,—,Last write wins; inconsistent format; emojis,closed,C,closed
ML-TEST-001,Testing,P0,ml-worker,Zero tests,ml-worker/,—,No tests/ directory,Author ml-worker/tests; ONNX/PyTorch parity test,B,closed
INFRA-CI-001,Production-readiness,P0,ci,ci.yml is 0 bytes,ci.yml,—,No GitHub Actions; no checks run on PR,Author .github/workflows/ci.yml (lint type test build trivy),D,closed
INFRA-CI-002,Production-readiness,P0,scripts,check.sh swallows errors with || true,scripts/check.sh,8;12,Non-blocking compile and type-check,Remove || true; gate CI,D,closed
INFRA-DOCK-001,Production-readiness,P0,frontend/Dockerfile,Production target references missing nginx.conf,frontend/Dockerfile,53,COPY nginx.conf fails — frontend prod image cannot build,Add frontend/nginx.conf with SPA fallback,D,closed
INFRA-DOCK-002,Production-readiness,P0,docker-compose,No production compose,docker-compose.yml,—,Base compose is dev (--reload code mounts target:dev),Author docker-compose.prod.yml under ./,D,closed
INFRA-DOCK-003,Production-readiness,P1,docker-compose,No resource limits,docker-compose.yml,—,No mem_limit cpus deploy.resources,Add limits per service,D,closed
INFRA-DOCK-004,Production-readiness,P1,Dockerfiles,Build tools left in runtime images,backend/Dockerfile,9-15;ml-worker/Dockerfile,11-15,build-essential libpq-dev curl git left in image,Multi-stage with thin runtime,D,closed
INFRA-DOCK-005,Production-readiness,P1,ml-worker/.dockerignore,Model weights ship inside image,ml-worker/.dockerignore,—,models/ and model_cache/ not excluded,Add to .dockerignore; fetch at runtime,D,closed
INFRA-NGINX-001,Security,P1,nginx,No TLS server block; HSTS over plaintext,nginx/nginx.conf,—,nginx/ssl/ empty; 443 mapped but no listener,Add 443 server with TLS; HSTS only on 443,D,closed
INFRA-NGINX-002,Security,P2,nginx,Missing CSP/Referrer-Policy/Permissions-Policy,nginx/nginx.conf,23-26,Only X-Frame X-CT-Options X-XSS HSTS,Add CSP; Referrer-Policy; Permissions-Policy,E,closed
INFRA-OBS-001,Logging,P1,infra,No log aggregation,—,—,Default json-file driver,Add Loki/Promtail or use cloud,C,closed
INFRA-OBS-002,Logging,P1,infra,No metrics endpoint,—,—,No Prometheus scrape target,Add /metrics on backend; restart ml-worker monitoring,C,closed
INFRA-BACKUP-001,Production-readiness,P1,infra,No backup story,docker-compose.yml,113-116,Postgres volume only,Add pg_dump cron + S3 lifecycle,D,deferred
BE-AUTH-001,Security,P1,backend/auth,Register drops supabase_user_id,backend/app/schemas/user.py,55-75,UserCreate schema omits supabase_user_id field; AuthService._create_local_user passes it via UserCreate(...) and Pydantic silently drops it leaving local row with NULL supabase_user_id (breaks subsequent lookups by Supabase id),Add supabase_user_id: UUID | None = None to UserCreate; or refactor _create_local_user to set the attribute on the ORM model after .create(),F,open
BE-HEALTH-001,Production-readiness,P2,backend/routes,Detailed health Redis check broken,backend/app/routes/health.py,55,Health route calls redis_client.ping() but RedisClient class exposes only initialize/get_connection/publish/subscribe/etc — no ping method — so detailed health always reports redis as unhealthy,Either add ping() that calls (await self.get_connection()).ping() or change the health check to use get_connection().ping() directly,F,open
BE-RECON-001,Production-readiness,P1,backend/routes,Reconciliation routes reference undefined EventType,backend/app/routes/accounts_reconciliation.py,59-67,Routes emit WebSocketEvent(event_type=EventType.ACCOUNT_RECONCILED) but EventType enum has no ACCOUNT_RECONCILED member; AttributeError raised inside try/except converts to 502 EXTERNAL_SERVICE_ERROR for every reconcile call,Add ACCOUNT_RECONCILED (and any other missing members like ACCOUNTS_RECONCILED) to app/websocket/events.EventType,F,open
